initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
252,62.0,259,5,578,InsectEPGSmallTrain,euclidean,single,pre_clustering
104,37.0,10,6,157,PickupGestureWiimoteZ,euclidean,weighted,fcfs
1755,1511.0,17238,268,20772,NonInvasiveFetalECGThorax2,lorentzian,single,fcfs
202,356.0,190,43,791,SonyAIBORobotSurface2,lorentzian,single,fcfs
927,767.0,617504,170,619368,InlineSkate,dtw,weighted,pre_clustering
195,270.0,1521,488,2474,GestureMidAirD3,dtw,complete,approx_distance_ascending
588,2039.0,11455,1256,15338,ECG5000,lorentzian,weighted,pre_clustering
218,791.0,3571,53,4633,TwoLeadECG,msm,ward,fcfs
229,251.0,171,101,752,AllGestureWiimoteZ,euclidean,average,pre_clustering
521,288.0,157932,268,159009,PigAirwayPressure,dtw,ward,fcfs
551,668.0,4627,425,6271,InsectWingbeatSound,lorentzian,average,pre_clustering
196,108.0,120,79,503,GunPointMaleVersusFemale,euclidean,single,approx_distance_ascending
229,1157.0,4533,407,6326,MoteStrain,msm,complete,pre_clustering
1169,976.0,1273937,211,1276293,EthanolLevel,msm,average,approx_distance_ascending
269,248.0,9400,263,10180,Fish,dtw,average,pre_clustering
1420,9321.0,109985,880,121606,FordB,sbd,average,approx_distance_ascending
113,161.0,533,3,810,ShakeGestureWiimoteZ,dtw,complete,pre_clustering
1028,5270.0,695032,770,702100,UWaveGestureLibraryZ,msm,weighted,approx_distance_ascending
1782,131558.0,3538599,16831,3688770,Crop,msm,single,pre_clustering
260,68.0,36,44,408,InsectEPGSmallTrain,euclidean,average,fcfs
583,631.0,113562,276,115052,ScreenType,msm,ward,pre_clustering
207,792.0,1214,342,2555,SonyAIBORobotSurface2,dtw,ward,approx_distance_ascending
216,155.0,1895,207,2473,Car,msm,complete,pre_clustering
213,250.0,160,61,684,ProximalPhalanxOutlineCorrect,euclidean,weighted,pre_clustering
670,25185.0,4441232,493,4467580,FreezerSmallTrain,kdtw,average,pre_clustering
228,40.0,21,8,297,Lightning2,euclidean,average,approx_distance_ascending
611,190.0,222,96,1119,SmallKitchenAppliances,euclidean,weighted,pre_clustering
759,862.0,2336,453,4410,FreezerSmallTrain,euclidean,average,approx_distance_ascending
124,154.0,3198,163,3639,BirdChicken,kdtw,weighted,approx_distance_ascending
548,354.0,104199,190,105291,Haptics,dtw,weighted,pre_clustering
131,96.0,210,185,622,BeetleFly,msm,weighted,approx_distance_ascending
372,550.0,1355,10,2287,Earthquakes,sbd,single,fcfs
329,88.0,464,2,883,Worms,lorentzian,weighted,pre_clustering
135,430.0,4137,432,5134,UMD,kdtw,single,approx_distance_ascending
2027,1538.0,53082,71,56718,HandOutlines,sbd,single,fcfs
293,4372.0,127996,83,132744,SwedishLeaf,kdtw,weighted,fcfs
412,1079.0,289,2533,4313,edeniss20182020_ics_anomalies,euclidean,average,pre_clustering
2364,5575.0,7216933,570,7225442,UWaveGestureLibraryAll,msm,single,fcfs
177,278.0,1539,248,2242,GunPointAgeSpan,dtw,complete,approx_distance_ascending
154,176.0,598,3,931,UMD,dtw,average,pre_clustering
160,369.0,768,4,1301,DistalPhalanxTW,dtw,single,fcfs
137,542.0,2408,397,3484,ECG200,kdtw,weighted,pre_clustering
378,3251.0,368768,424,372821,FiftyWords,kdtw,complete,approx_distance_ascending
207,695.0,285,25,1212,DistalPhalanxTW,sbd,complete,fcfs
412,908.0,60690,634,62644,PLAID,msm,weighted,pre_clustering
176,141.0,480,6,803,MiddlePhalanxTW,lorentzian,ward,pre_clustering
178,380.0,444,3,1005,ArrowHead,sbd,ward,pre_clustering
182,693.0,1611,6,2492,SonyAIBORobotSurface1,sbd,single,pre_clustering
170,254.0,535,63,1022,ItalyPowerDemand,lorentzian,complete,fcfs
222,258.0,148,170,798,AllGestureWiimoteY,euclidean,weighted,fcfs
211,3807.0,113085,604,117707,AllGestureWiimoteZ,kdtw,complete,approx_distance_ascending
192,287.0,135,123,737,Lightning2,sbd,complete,approx_distance_ascending
384,62.0,74,75,595,WormsTwoClass,euclidean,complete,approx_distance_ascending
1014,1074.0,22599,122,24809,Yoga,euclidean,single,pre_clustering
899,357.0,2197,414,3867,SemgHandSubjectCh2,lorentzian,weighted,approx_distance_ascending
186,1096.0,27513,60,28855,GunPointAgeSpan,kdtw,single,fcfs
898,297.0,1588,413,3196,SemgHandMovementCh2,lorentzian,single,approx_distance_ascending
1446,1472.0,39159,56,42133,CinCECGTorso,sbd,average,fcfs
687,190.0,1424,12,2313,EOGHorizontalSignal,lorentzian,average,fcfs
544,91.0,396,7,1038,PigAirwayPressure,lorentzian,weighted,fcfs
785,2640.0,264972,544,268941,FreezerSmallTrain,dtw,ward,pre_clustering
206,1054.0,1903,233,3396,AllGestureWiimoteZ,sbd,ward,pre_clustering
565,15136.0,2059107,546,2075354,InsectWingbeatSound,kdtw,ward,pre_clustering
265,1203.0,2741,284,4493,MedicalImages,sbd,weighted,pre_clustering
363,1026.0,1996,22,3407,CricketY,sbd,ward,fcfs
245,628.0,8651,19,9543,AllGestureWiimoteX,dtw,single,fcfs
217,717.0,1560,21,2515,SonyAIBORobotSurface2,dtw,average,fcfs
1703,13704.0,92813,15218,123438,ElectricDevices,euclidean,ward,pre_clustering
2031,1293.0,5698052,293,5701669,HandOutlines,msm,weighted,approx_distance_ascending
161,702.0,1066,29,1958,ItalyPowerDemand,dtw,ward,pre_clustering
288,110.0,133,249,780,OSULeaf,lorentzian,complete,approx_distance_ascending
265,250.0,328847,972,330334,Rock,kdtw,weighted,pre_clustering
1902,809.0,3228,723,6662,MixedShapesRegularTrain,euclidean,average,pre_clustering
227,243.0,734,41,1245,AllGestureWiimoteX,euclidean,weighted,pre_clustering
1056,3357.0,15160,2131,21704,Wafer,lorentzian,complete,fcfs
1410,1888.0,1913837,360,1917495,Phoneme,dtw,ward,approx_distance_ascending
160,215.0,922,599,1896,edeniss20182020_ec_anomalies,msm,ward,approx_distance_ascending
671,6302.0,178875,432,186280,ECG5000,dtw,single,fcfs
162,166.0,839,272,1439,ArrowHead,dtw,complete,approx_distance_ascending
335,667.0,19049,264,20315,Strawberry,dtw,complete,approx_distance_ascending
176,100.0,394,262,932,OliveOil,msm,ward,pre_clustering
1014,152136.0,7320564,2597,7476311,Wafer,kdtw,average,approx_distance_ascending
151,99.0,478,50,778,OliveOil,dtw,complete,fcfs
237,660.0,4947,339,6183,ECGFiveDays,msm,complete,approx_distance_ascending
272,971.0,3126,10,4379,ECGFiveDays,sbd,single,pre_clustering
157,226.0,938,691,2012,edeniss20182020_ph_anomalies,msm,average,approx_distance_ascending
294,5065.0,284115,611,290085,edeniss20182020_temp_anomalies,kdtw,single,approx_distance_ascending
464,633.0,2150,273,3520,Computers,sbd,complete,pre_clustering
145,48.0,31,22,246,Beef,lorentzian,weighted,approx_distance_ascending
1473,17836.0,48658122,515,48677946,Mallat,kdtw,weighted,approx_distance_ascending
202,279.0,21060,304,21845,Meat,kdtw,average,approx_distance_ascending
166,427.0,594,339,1526,DistalPhalanxOutlineAgeGroup,msm,average,approx_distance_ascending
144,766.0,565,210,1685,ItalyPowerDemand,msm,ward,approx_distance_ascending
211,290.0,36946,299,37746,Car,kdtw,average,pre_clustering
124,99.0,60,127,410,Coffee,dtw,ward,approx_distance_ascending
116,65.0,21,3,205,edeniss20182020_vpd_anomalies,lorentzian,single,pre_clustering
1894,4608.0,97463,490,104455,MixedShapesRegularTrain,sbd,ward,pre_clustering
129,449.0,5623,71,6272,Plane,kdtw,single,fcfs
535,553.0,114338,240,115666,ScreenType,msm,single,approx_distance_ascending
111,980.0,650,313,2054,Chinatown,kdtw,complete,pre_clustering
124,157.0,160,9,450,PickupGestureWiimoteZ,msm,ward,fcfs
181,460.0,18237,453,19331,Trace,kdtw,single,pre_clustering
159,531.0,194,444,1328,SyntheticControl,msm,average,approx_distance_ascending
